Name,Value,Timestamp,Step
"raw_loss",0.25033692,1613808997515,22
"wd_0",0.01,1613808997515,22
"sqr_mom_0",0.99,1613808997515,22
"lr_0",8.553058337262749e-06,1613808997515,22
"mom_0",0.9452572308986846,1613808997515,22
"eps_0",1e-05,1613808997515,22
"wd_1",0.01,1613808997515,22
"sqr_mom_1",0.99,1613808997515,22
"lr_1",8.553058337262749e-06,1613808997515,22
"mom_1",0.9452572308986846,1613808997515,22
"eps_1",1e-05,1613808997515,22
"wd_2",0.01,1613808997515,22
"sqr_mom_2",0.99,1613808997515,22
"lr_2",8.55305833726275e-05,1613808997515,22
"mom_2",0.9452572308986846,1613808997515,22
"eps_2",1e-05,1613808997515,22
"train_loss",0.45985153,1613808998392,23
"raw_loss",0.27551442,1613808998392,23
"wd_0",0.01,1613808998392,23
"sqr_mom_0",0.99,1613808998392,23
"lr_0",8.968927440491031e-06,1613808998392,23
"mom_0",0.9448240339161551,1613808998392,23
"eps_0",1e-05,1613808998392,23
"wd_1",0.01,1613808998392,23
"sqr_mom_1",0.99,1613808998392,23
"lr_1",8.968927440491031e-06,1613808998392,23
"mom_1",0.9448240339161551,1613808998392,23
"eps_1",1e-05,1613808998392,23
"wd_2",0.01,1613808998392,23
"sqr_mom_2",0.99,1613808998392,23
"lr_2",8.968927440491031e-05,1613808998392,23
"mom_2",0.9448240339161551,1613808998392,23
"eps_2",1e-05,1613808998392,23
"train_loss",0.4475937,1613808999264,24
"raw_loss",0.2168182,1613808999264,24
"wd_0",0.01,1613808999264,24
"sqr_mom_0",0.99,1613808999264,24
"lr_0",9.401935222813777e-06,1613808999264,24
"mom_0",0.9443729841429023,1613808999264,24
"eps_0",1e-05,1613808999264,24
"wd_1",0.01,1613808999264,24
"sqr_mom_1",0.99,1613808999264,24
"lr_1",9.401935222813777e-06,1613808999264,24
"mom_1",0.9443729841429023,1613808999264,24
"eps_1",1e-05,1613808999264,24
"wd_2",0.01,1613808999264,24
"sqr_mom_2",0.99,1613808999264,24
"lr_2",9.401935222813777e-05,1613808999264,24
"mom_2",0.9443729841429023,1613808999264,24
"eps_2",1e-05,1613808999264,24
"train_loss",0.4376778,1613809000138,25
"raw_loss",0.24500994,1613809000138,25
